video_id,gloss,url
69241,book,http://aslbricks.org/New/ASL-Videos/book.mp4
65225,book,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4
68011,book,https://www.youtube.com/watch?v=0UsjUE-TXns
68208,book,https://www.youtube.com/watch?v=1QOYOZ3g-aY
68012,book,https://www.youtube.com/watch?v=aGtIHKEdCds
70212,book,https://www.youtube.com/watch?v=hjS0dQDgbjo
70266,book,https://www.youtube.com/watch?v=WGfiiDgrq1I
07085,book,http://www.aslpro.com/main/b/book_english_grammar.swf
07086,book,http://www.aslpro.com/main/b/book_geography.swf
07087,book,http://www.aslpro.com/main/b/book_geometry.swf
07069,book,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4
07088,book,http://www.aslpro.com/main/b/book_history.swf
07089,book,http://www.aslpro.com/main/b/book_law.swf
07090,book,http://www.aslpro.com/main/b/book_literature.swf
07091,book,http://www.aslpro.com/main/b/book_math.swf
07092,book,http://www.aslpro.com/main/b/book_medicine.swf
07093,book,http://www.aslpro.com/main/b/book_music.swf
07068,book,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4
07094,book,http://www.aslpro.com/main/b/book_photography.swf
07095,book,http://www.aslpro.com/main/b/book_science.swf
07096,book,http://www.aslpro.com/main/b/book_spelling.swf
07097,book,http://www.aslpro.com/main/b/book.swf
07070,book,https://media.asldeafined.com/vocabulary/1466684225.687.mp4
07098,book,http://www.aslpro.com/main/b/book_trigonometry.swf
07099,book,http://www.aslsearch.com/signs/videos/book.mp4
07071,book,https://www.handspeak.com/word/b/book2.mp4
07072,book,https://www.handspeak.com/word/b/book.mp4
07073,book,https://www.handspeak.com/word/b/books-pile.mp4
67424,book,https://youtu.be/3-GrhsVs830
07074,book,https://www.signingsavvy.com/signs/mp4/14/14326.mp4
07075,book,https://www.youtube.com/watch?v=Kwvw-K6GYW8
07076,book,https://www.youtube.com/watch?v=XjWSfh50kAU
07077,book,http://www.aslpro.com/main/b/book_accounting.swf
07078,book,http://www.aslpro.com/main/b/book_algebra.swf
07079,book,http://www.aslpro.com/main/b/book_anatomy.swf
07080,book,http://www.aslpro.com/main/b/book_art_history.swf
07081,book,http://www.aslpro.com/main/b/book_art.swf
07082,book,http://www.aslpro.com/main/b/book_business.swf
07083,book,http://www.aslpro.com/main/b/book_chemistry.swf
07084,book,http://www.aslpro.com/main/b/book_coloring.swf
69302,drink,http://aslbricks.org/New/ASL-Videos/drink.mp4
65539,drink,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4
70173,drink,https://www.youtube.com/watch?v=F5Wef1_PtLk
68538,drink,https://www.youtube.com/watch?v=HZMTQJdBZ9g
68042,drink,https://www.youtube.com/watch?v=KRc_WYI1DgA
68660,drink,https://www.youtube.com/watch?v=Lk2Vws8homw
68041,drink,https://www.youtube.com/watch?v=Nc7rSopCpI8
17725,drink,https://www.youtube.com/watch?v=537MWOtCl78
17726,drink,https://www.youtube.com/watch?v=6gU3Ln98sWA
17727,drink,https://www.youtube.com/watch?v=Ddd2ZZNFhVI
17728,drink,https://www.youtube.com/watch?v=g3rl9_LYqzI
17710,drink,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4
17729,drink,https://www.youtube.com/watch?v=i0opsQ2zB1Q
17730,drink,https://www.youtube.com/watch?v=k6cNmM9WgUs
